ion,formula,tentative.id.1,tentative.id.2,tentative.id.3
31.0143,CH2O,formaldehyde,,
33.0279,CH4O,methanol,,
41.0311,C3H4,propyne,fragments,
42.0018,,unknown,,
42.0269,C2H3N,acetonitrile,,
43.0113,C2H2O,ketene,,
43.0466,C3H6,propene,,
44.0074,CHNO,isocyanic acid,,
44.048,C2H5N,Vinylamine,,
44.9901,CHP,methinophosphide,,
45.0267,C2H4O,acetaldehyde,,
46.0234,CH3NO,mthanamid,,
47.008,CH2O2,formic acid,,
47.0436,C2H6O,ethanol,,
48.0483,CH5NO,Methoxyamine,,
49.0094,CH4S,Methanethiol,Methanetriol,
49.9987,CH7NO,Ammonia methanol,,
51.0211,,unknown,,
51.0426,CH3O-H2O,Methanol water cluster,,
51.9403,,unknown,,
51.995,,unknown,,
52.0309,,unknown,,
52.9408,,unknown,,
53.0026,C2N2,Cyanogen,,
53.0389,C4H4,Cyclobutadiene,,
53.9398,,unknown,,
54.0354,C3H3N,Acrylonitrile,,
55.9351,,unknown,,
56.0616,C4H7,But-1-yne,2-Methylallyl radical,
57.0368,C3H4O,Acrolein,fragments,
57.0702,C4H8,1-Butene,2-Methylpropene,fragments
57.9355,,unknown,,
58.0351,C2H3NO,Hydroxyacetonitrile,Isocyanato methane,
58.0732,C3H7N,2-Propanimine,2-Propen-1-amine,
59.0502,C3H6O,Acetone ,Propanal,
59.931,,unknown,,
59.9659,,unknown,,
60.0487,C2H5NO,Acetamide,N-methyl-formamide ,
61.029,C2H4O2,Acetic acid,frag,
61.9285,CClN,Cyanogen chloride,,
62.0266,CH3NO2,Methyl nitrite,Nitromethane,
62.9299,,unknown,,
62.9637,CH2OS,Sulfine,,
63.003,C2H3Cl,Vinyl chloride,,
63.0395,C2H7P,Dimethylphosphine,,
63.9807,HNOS,Thionitrous acid,Thionylimide,
64.039,CH5NO2,Ammonium formate,,
65.0236,C2H2F2,"1,1-Difluoroethylene",,
65.0586,C2H8O2,Ethylene dihydrate,,
66.0429,C4H3N,Cyanoallene,,
66.0549,C5H5,Cyclopentadienyl radical,,
67.0546,C5H6,3-Penten-1-yne,"1,3-Cyclopentadiene",frag
68.0521,C4H5N,pyrrole,3-Butenenitrile,Cyclopropanecarbonitrile
69.0363,C4H4O,Furan,,
69.0701,C5H8,Isoprene ,"1,4-Pentadiene",
70.0701,C4H7N,Butanenitrile,1-Isocyano-propane,
71.05,C4H6O,Methacrolein,Methyl Vinyl Ketone,
71.0839,C5H10,(Z)-2-pentene,2-Methyl-2-butene,
71.933,,unknown,,
72.049,C3H5NO,Acrylamide,Methoxyacetonitrile,
72.0863,C4H9N,1-Methyl-azetidine ,2-Methyl-2-propen-1-amine ,
72.9381,,unknown,,
73.0648,C4H8O,2-Butanone,Butanal,
73.9425,,unknown,,
74.0255,C2H3NO2,Nitroethane,,
74.0638,C3H7NO,Dimethylformamide,,
75.0447,C3H6O2,Methyl acetate,1-Hydroxypropan-2-one,
75.9465,,unknown,,
76.0468,C2H5NO2,Nitroethane,Acetohydroxamic acid,
76.9445,CS2,Carbon disulfide,,
77.0593,C3H8O2,"1,3-Propanediol",2-Methoxy-ethanol,
77.942,CHO2S,Hydrogen carbonothioate,,
78.0469,C6H5,"2,4-Hexadiyn-1-yl","1,5-Hexadiyn-3-yl",
79.0538,C6H6,benzene,,
79.9397,,unknown,,
80.0548,C5H5N,Pyridine,,
80.9916,C2H2FCl,1-Chloro-1-fluoro-ethene ,,
81.0702,C6H8,1-Hexen-3-yne,fragments,
82.0713,C6H9,Cyclopentenyl carbenium,,
82.9456,,unknown,,
82.9889,H3O3P,Phosphorous acid,,
83.0545,C5H6O,2-Methylfuran,fragment,
83.0845,C6H10,2-Hexyne,1-Methyl-cyclopentane,
84.0501,C3H5N3,3-Aminopyrazole,4-NH2-pyrazole,
84.084,C5H9N,Pentanenitrile,"2,2-Dimethyl-propanenitrile",
84.9621,CH2Cl2,Methylene chloride,,
85.0334,C4H4O2,2(3H)-Furanone,,
85.063,C5H8O,Cyclopentanone,fragments,
85.0981,C6H12,Methylcyclopentane,(E)-2-Hexene,
85.9488,,unknown,,
86.0611,C4H7NO,2-Butenamide,Methacrylamide,
87.0464,C4H6O2,"2,3-Butanedione",Methyl Acrylate,
87.9451,,unknown,,
88.05,C4H7S,"3,4-Dihydro-2H-thiophene",,
88.0714,C4H9NO,N-Ethyl-acetamide,Morpholine,
88.9537,,unknown,,
89.0594,C4H8O2,Ethyl acetate,"1,4-Dioxane",
89.9469,,unknown,,
90.0236,C2H3NO3,Oxamic acid,,
