"","Ion1","Ion2","I1.formula","I1.tentative.id.1","I1.tentative.id.2","I1.tentative.id.3","I2.formula","I2.tentative.id.1","I2.tentative.id.2","I2.tentative.id.3"
"1",51.0426,33.0279,"CH3O-H2O","Methanol water cluster",NA,NA,"CH4O","methanol",NA,NA
"2",56.0616,41.0311,"C4H7","But-1-yne","2-Methylallyl radical",NA,"C3H4","propyne","fragments",NA
"3",73.9425,42.0018,NA,"unknown",NA,NA,NA,"unknown",NA,NA
"4",44.048,43.0466,"C2H5N","Vinylamine",NA,NA,"C3H6","propene",NA,NA
"5",86.0611,45.0267,"C4H7NO","2-Butenamide","Methacrylamide",NA,"C2H4O","acetaldehyde",NA,NA
"6",48.0483,47.0436,"CH5NO","Methoxyamine",NA,NA,"C2H6O","ethanol",NA,NA
"7",65.0586,47.0436,"C2H8O2","Ethylene dihydrate",NA,NA,"C2H6O","ethanol",NA,NA
"8",55.9351,51.9403,NA,"unknown",NA,NA,NA,"unknown",NA,NA
"9",57.0702,56.0616,"C4H8","1-Butene","2-Methylpropene","fragments","C4H7","But-1-yne","2-Methylallyl radical",NA
"10",58.0732,56.0616,"C3H7N","2-Propanimine","2-Propen-1-amine",NA,"C4H7","But-1-yne","2-Methylallyl radical",NA
"11",58.0732,57.0702,"C3H7N","2-Propanimine","2-Propen-1-amine",NA,"C4H8","1-Butene","2-Methylpropene","fragments"
"12",83.0545,69.0363,"C5H6O","2-Methylfuran","fragment",NA,"C4H4O","Furan",NA,NA
"13",70.0701,69.0701,"C4H7N","Butanenitrile","1-Isocyano-propane",NA,"C5H8","Isoprene","1,4-Pentadiene",NA
"14",83.0845,69.0701,"C6H10","2-Hexyne","1-Methyl-cyclopentane",NA,"C5H8","Isoprene","1,4-Pentadiene",NA
"15",84.084,69.0701,"C5H9N","Pentanenitrile","2,2-Dimethyl-propanenitrile",NA,"C5H8","Isoprene","1,4-Pentadiene",NA
"16",72.0863,70.0701,"C4H9N","1-Methyl-azetidine","2-Methyl-2-propen-1-amine",NA,"C4H7N","Butanenitrile","1-Isocyano-propane",NA
"17",72.0863,71.0839,"C4H9N","1-Methyl-azetidine","2-Methyl-2-propen-1-amine",NA,"C5H10","(Z)-2-pentene","2-Methyl-2-butene",NA
"18",85.0981,71.0839,"C6H12","Methylcyclopentane","(E)-2-Hexene",NA,"C5H10","(Z)-2-pentene","2-Methyl-2-butene",NA
"19",85.0981,72.0863,"C6H12","Methylcyclopentane","(E)-2-Hexene",NA,"C4H9N","1-Methyl-azetidine","2-Methyl-2-propen-1-amine",NA
"20",76.0468,75.0447,"C2H5NO2","Nitroethane","Acetohydroxamic acid",NA,"C3H6O2","Methyl acetate","1-Hydroxypropan-2-one",NA
"21",80.0548,79.0538,"C5H5N","Pyridine",NA,NA,"C6H6","benzene",NA,NA
